#time,accel_x,accel_y,accel_z
13815.668674,444.123565,-444.123565,-78448.178995
13815.671227,-444.123565,-444.123565,-79061.055394
13815.673780,296.082377,-888.247130,-78294.959896
13815.676334,740.205942,-1332.370696,-78294.959896
13815.678887,148.041188,-1184.329507,-77682.083497
13815.681440,-740.205942,-148.041188,-78141.740796
13815.683993,296.082377,-1036.288319,-78907.836294
13815.686546,592.164754,-740.205942,-78294.959896
13815.689099,444.123565,-888.247130,-78448.178995
13815.691652,1036.288319,-1184.329507,-78907.836294
13815.694206,1776.494261,-1184.329507,-78907.836294
13815.696759,-8882.471304,2368.659014,-78448.178995
13815.699312,7402.059420,-1628.453072,-77222.426198
13815.701865,-5773.606348,1628.453072,-79061.055394
13815.704418,4589.276840,6513.812290,-79214.274493
13815.706971,7550.100608,-2220.617826,-78601.398095
13815.709525,-2072.576638,4737.318029,-77988.521696
13815.712078,-2960.823768,-2960.823768,-80593.246390
13815.714631,-9030.512492,-1332.370696,-76915.987999
13815.717184,-9474.636058,10955.047942,-77988.521696
13815.719737,10658.965565,-1184.329507,-76303.111601
13815.722290,10066.800811,18505.148550,-79061.055394
13815.724843,5773.606348,2664.741391,-80286.808190
13815.727397,-3997.112087,6365.771101,-74617.701505
13815.729950,-18357.107362,-2664.741391,-78448.178995
13815.732503,-3997.112087,-8882.471304,-76149.892501
13815.735056,5625.565159,-18949.272115,-79520.712692
13815.737609,3997.112087,-15840.407159,-77835.302597
13815.740162,-1184.329507,-2368.659014,-76456.330700
13815.742722,-10066.800811,2072.576638,-78601.398095
13815.745282,-12287.418637,-296.082377,-77988.521696
13815.747841,-2220.617826,-4441.235652,-79214.274493
13815.750401,888.247130,3256.906145,-77528.864398
13815.752961,1036.288319,148.041188,-78448.178995
13815.755520,-5033.400406,-5773.606348,-79673.931792
13815.758080,4293.194464,-11103.089130,-78448.178995
13815.760640,-3108.864956,1628.453072,-77069.207099
13815.763199,3849.070898,3256.906145,-78448.178995
13815.765759,-5477.523971,-2664.741391,-77835.302597
13815.768319,2516.700203,-5033.400406,-79520.712692
13815.770878,-3108.864956,-2220.617826,-79673.931792
13815.773438,-2960.823768,2368.659014,-77069.207099
13815.775998,-3552.988522,-5181.441594,-81206.122788
13815.778557,-4885.359217,-11547.212695,-78754.617194
