#time,accel_x,accel_y,accel_z
13686.387092,-1036.288319,-888.247130,-78754.617194
13686.389481,-1184.329507,-888.247130,-78294.959896
13686.391870,-888.247130,-740.205942,-78294.959896
13686.394260,-444.123565,-740.205942,-77528.864398
13686.396649,444.123565,-740.205942,-77682.083497
13686.399038,148.041188,-1480.411884,-77988.521696
13686.401427,0.000000,-1480.411884,-78294.959896
13686.403816,148.041188,-888.247130,-78754.617194
13686.406206,148.041188,-1184.329507,-78448.178995
13686.408595,444.123565,-1184.329507,-78141.740796
13686.410984,-740.205942,-1184.329507,-78294.959896
13686.413373,-740.205942,-1184.329507,-78754.617194
13686.415762,0.000000,-444.123565,-78754.617194
13686.418152,-888.247130,-888.247130,-78448.178995
13686.420541,-1184.329507,-888.247130,-78141.740796
13686.422930,-444.123565,-444.123565,-78448.178995
13686.425319,-592.164754,-888.247130,-78601.398095
13686.427708,-888.247130,-444.123565,-78448.178995
13686.430098,-592.164754,-888.247130,-79061.055394
13686.432487,-1036.288319,-592.164754,-77682.083497
13686.434876,-148.041188,-740.205942,-78294.959896
13686.437265,-11547.212695,-4885.359217,-78448.178995
13686.439654,12731.542202,2368.659014,-77069.207099
13686.442044,-1036.288319,-4737.318029,-79214.274493
13686.444433,10807.006753,-3256.906145,-76609.549800
13686.446822,-2812.782580,-2960.823768,-77222.426198
13686.449211,-7846.182985,2368.659014,-76762.768900
13686.451600,-11103.089130,4441.235652,-78294.959896
13686.453990,-7550.100608,-3404.947333,-78141.740796
13686.456379,2368.659014,-1184.329507,-79673.931792
13686.458768,5181.441594,-2072.576638,-78294.959896
13686.461157,4145.153275,-12139.377449,-78294.959896
13686.463546,-444.123565,-9918.759623,-79214.274493
13686.465936,-7254.018232,-12583.501014,-79980.369991
13686.468325,-1628.453072,-5921.647536,-78141.740796
13686.470714,740.205942,6069.688724,-77069.207099
13686.473195,0.000000,10807.006753,-77375.645298
13686.475677,-2812.782580,14508.036463,-76609.549800
13686.478158,-3552.988522,6365.771101,-78907.836294
13686.480639,-1776.494261,-1924.535449,-78907.836294
13686.483121,2368.659014,3404.947333,-76303.111601
13686.485602,740.205942,2516.700203,-79520.712692
13686.488084,6217.729913,-7105.977043,-78907.836294
13686.490565,-8586.388927,-5033.400406,-79673.931792
13686.493046,9178.553681,148.041188,-77528.864398
13686.495528,-5921.647536,10066.800811,-78601.398095
13686.498009,4145.153275,-3256.906145,-78754.617194
13686.500490,-2220.617826,-4145.153275,-77375.645298
13686.502972,888.247130,-1184.329507,-78294.959896
13686.505453,-3552.988522,7846.182985,-76149.892501
13686.507935,-9918.759623,1036.288319,-78294.959896
13686.510416,-3849.070898,-7105.977043,-78907.836294
13686.512897,-2812.782580,2664.741391,-79367.493593
13686.515379,-3404.947333,592.164754,-79367.493593
13686.517860,444.123565,5329.482782,-76456.330700
13686.520341,-9178.553681,-2960.823768,-81052.903688
13686.522823,-3108.864956,5477.523971,-77988.521696
13686.525304,-444.123565,13619.789333,-78294.959896
13686.527785,-148.041188,-1480.411884,-79214.274493
13686.530267,3108.864956,2220.617826,-77835.302597
13686.532748,-9030.512492,592.164754,-78601.398095
13686.535230,-1184.329507,-296.082377,-77222.426198
13686.537711,-1628.453072,-1776.494261,-77528.864398
13686.540192,-2516.700203,-3701.029710,-78141.740796
13686.542674,-1036.288319,9918.759623,-76303.111601
13686.545155,740.205942,-1332.370696,-79520.712692
13686.547636,4145.153275,-296.082377,-77682.083497
13686.550118,9030.512492,3256.906145,-77222.426198
13686.552599,2812.782580,-4885.359217,-77988.521696
13686.555081,9770.718434,-4589.276840,-76609.549800
13686.557562,-1924.535449,-8438.347739,-79214.274493
13686.560043,-8882.471304,-4293.194464,-78294.959896
13686.562525,1332.370696,-6069.688724,-77988.521696
13686.565006,-296.082377,-4441.235652,-79520.712692
13686.567487,7994.224174,-3108.864956,-77682.083497
13686.569969,-1036.288319,444.123565,-77835.302597
13686.572508,-2368.659014,-592.164754,-79367.493593
13686.575047,-4293.194464,-3256.906145,-77988.521696
13686.577587,2516.700203,-1036.288319,-79214.274493
13686.580126,2960.823768,-3404.947333,-79520.712692
13686.582665,3849.070898,-5033.400406,-77069.207099
13686.585205,3404.947333,-6365.771101,-77682.083497
13686.587744,740.205942,-3849.070898,-77988.521696
13686.590283,3404.947333,1924.535449,-78601.398095
13686.592823,0.000000,-3256.906145,-78907.836294
13686.595362,444.123565,-4885.359217,-76303.111601
13686.597901,2368.659014,-444.123565,-77069.207099
13686.600441,592.164754,-1184.329507,-77222.426198
13686.602980,3256.906145,-5033.400406,-79061.055394
13686.605519,-2368.659014,-5477.523971,-79367.493593
13686.608059,6957.935855,-1924.535449,-78601.398095
13686.610598,6957.935855,-3997.112087,-78907.836294
13686.613137,8290.306550,-8438.347739,-79673.931792
13686.615676,-2664.741391,-10066.800811,-79367.493593
13686.618216,-1184.329507,-3552.988522,-77069.207099
13686.620755,-2368.659014,-592.164754,-77069.207099
13686.623294,1184.329507,-2368.659014,-78754.617194
13686.625834,8882.471304,-7105.977043,-78601.398095
13686.628373,444.123565,-888.247130,-78141.740796
13686.630912,-296.082377,3404.947333,-78141.740796
