#time,accel_x,accel_y,accel_z
13538.805757,-444.123565,-888.247130,-78448.178995
13538.808329,-592.164754,-592.164754,-77988.521696
13538.810900,-1036.288319,-888.247130,-77528.864398
13538.813472,-1776.494261,-1036.288319,-77988.521696
13538.816043,-2220.617826,-888.247130,-78448.178995
13538.818615,-1776.494261,-296.082377,-78141.740796
13538.821186,740.205942,-740.205942,-78448.178995
13538.823758,-592.164754,-888.247130,-78294.959896
13538.826329,-888.247130,-888.247130,-77988.521696
13538.828901,-444.123565,-444.123565,-78448.178995
13538.831472,-740.205942,-1036.288319,-78294.959896
13538.834044,4885.359217,-740.205942,-78448.178995
13538.836615,-6513.812290,296.082377,-77069.207099
13538.839187,5181.441594,2220.617826,-76456.330700
13538.841759,-2516.700203,-2516.700203,-77988.521696
13538.844330,4145.153275,10214.842000,-78448.178995
13538.846902,10955.047942,-4293.194464,-79214.274493
13538.849473,3256.906145,7994.224174,-78294.959896
13538.852045,-296.082377,-5773.606348,-81052.903688
13538.854616,-7550.100608,1036.288319,-76149.892501
13538.857188,-8290.306550,8290.306550,-78448.178995
13538.859759,8290.306550,4589.276840,-78294.959896
13538.862331,10510.924376,18061.024985,-78294.959896
13538.864902,1184.329507,6809.894666,-81052.903688
13538.867474,-2516.700203,148.041188,-76609.549800
13538.870045,-19245.354492,-14063.912898,-79214.274493
13538.872617,-11695.253884,-14508.036463,-76609.549800
13538.875188,296.082377,-12879.583391,-77222.426198
13538.877760,5773.606348,-4737.318029,-78141.740796
13538.880332,888.247130,4145.153275,-77988.521696
13538.882903,-9622.677246,-1184.329507,-79367.493593
13538.885475,-8734.430116,1480.411884,-77375.645298
13538.888046,-7550.100608,4441.235652,-78141.740796
13538.890618,444.123565,-2220.617826,-78754.617194
13538.893189,4737.318029,-12583.501014,-79214.274493
13538.895761,-888.247130,-4293.194464,-77375.645298
13538.898332,2220.617826,3997.112087,-77988.521696
13538.900904,-592.164754,-2220.617826,-79214.274493
13538.903480,1776.494261,-296.082377,-78601.398095
13538.906054,-6365.771101,-6513.812290,-79827.150892
13538.908628,-1628.453072,3997.112087,-78448.178995
13538.911202,-888.247130,-4441.235652,-79214.274493
13538.913777,-11843.295072,-3256.906145,-77682.083497
13538.916351,-9770.718434,-6661.853478,-81359.341888
13538.918925,-6957.935855,-5477.523971,-77375.645298
13538.921499,-2960.823768,-2960.823768,-79673.931792
13538.924074,2368.659014,-6365.771101,-80593.246390
13538.926648,4145.153275,1184.329507,-77988.521696
13538.929222,-2072.576638,2664.741391,-80899.684589
13538.931797,-8438.347739,-3256.906145,-77835.302597
13538.934371,-11695.253884,-6957.935855,-79367.493593
13538.936945,-1480.411884,-4441.235652,-78601.398095
13538.939519,3404.947333,-8290.306550,-78294.959896
13538.942094,-3404.947333,-6069.688724,-79367.493593
13538.944668,6513.812290,-6661.853478,-77835.302597
13538.947242,-3404.947333,3997.112087,-79061.055394
13538.949816,-7846.182985,6957.935855,-80286.808190
13538.952391,9326.594869,-3701.029710,-79827.150892
13538.954965,-3404.947333,1628.453072,-77988.521696
13538.957539,9030.512492,3997.112087,-79520.712692
13538.960114,4737.318029,-15248.242405,-76456.330700
13538.962688,-888.247130,8882.471304,-79214.274493
13538.965262,8290.306550,-5477.523971,-78907.836294
13538.967836,-592.164754,4293.194464,-75230.577904
13538.970411,-6069.688724,8142.265362,-81359.341888
13538.972985,2664.741391,-1332.370696,-76456.330700
13538.975559,4589.276840,4589.276840,-78141.740796
13538.978133,8290.306550,2072.576638,-79367.493593
13538.980708,11547.212695,-5181.441594,-77528.864398
13538.983282,-1924.535449,-148.041188,-79827.150892
13538.985830,1184.329507,592.164754,-76762.768900
13538.988378,-2072.576638,444.123565,-76609.549800
13538.990927,-1036.288319,2664.741391,-77375.645298
13538.993475,2368.659014,-740.205942,-78294.959896
13538.996023,14211.954086,1036.288319,-75996.673402
13538.998571,-3849.070898,2220.617826,-76456.330700
13539.001120,2072.576638,-296.082377,-77222.426198
13539.003668,-1184.329507,-1776.494261,-77682.083497
13539.006216,592.164754,5181.441594,-79367.493593
13539.008764,12435.459826,-1036.288319,-78448.178995
13539.011312,-3849.070898,4441.235652,-78448.178995
13539.013861,3404.947333,4737.318029,-80440.027290
13539.016409,1924.535449,-3256.906145,-76762.768900
13539.018957,3404.947333,5477.523971,-80286.808190
13539.021505,11399.171507,296.082377,-78141.740796
13539.024054,4441.235652,6513.812290,-76762.768900
13539.026602,-4737.318029,7105.977043,-79827.150892
13539.029150,2664.741391,-1628.453072,-77222.426198
13539.031698,-1036.288319,1332.370696,-78754.617194
13539.034246,12435.459826,5921.647536,-77835.302597
13539.036795,1332.370696,-5181.441594,-79827.150892
13539.039343,1184.329507,2368.659014,-77682.083497
13539.041891,592.164754,-1924.535449,-78601.398095
13539.044439,-8290.306550,8290.306550,-77528.864398
13539.046988,2072.576638,-5773.606348,-80286.808190
13539.049536,-7994.224174,-2812.782580,-76303.111601
13539.052084,296.082377,5773.606348,-80286.808190
13539.054632,-2516.700203,-13027.624579,-76149.892501
13539.057181,-10658.965565,4441.235652,-79214.274493
13539.059729,4737.318029,-3108.864956,-81512.560987
13539.062277,-2368.659014,-8734.430116,-75537.016103
13539.064825,-8586.388927,-592.164754,-81052.903688
13539.067373,-888.247130,-12139.377449,-76303.111601
13539.069922,-7402.059420,296.082377,-77988.521696
13539.072470,3701.029710,-1776.494261,-78141.740796
13539.075018,1184.329507,-2812.782580,-76915.987999
13539.077566,296.082377,1924.535449,-80286.808190
13539.080115,-6661.853478,-4885.359217,-76762.768900
13539.082663,-12583.501014,-1776.494261,-78448.178995
13539.085211,-1924.535449,-5329.482782,-79367.493593
13539.087766,444.123565,-7402.059420,-78601.398095
13539.090322,2664.741391,0.000000,-80286.808190
13539.092877,-5773.606348,-1332.370696,-78294.959896
13539.095433,1924.535449,-2072.576638,-80593.246390
13539.097988,4293.194464,-4293.194464,-78141.740796
13539.100543,-1184.329507,2664.741391,-77988.521696
13539.103099,1332.370696,-1480.411884,-78141.740796
13539.105654,-3552.988522,-7254.018232,-79827.150892
13539.108210,-3404.947333,-2220.617826,-79673.931792
13539.110765,-740.205942,-5181.441594,-76762.768900
13539.113320,-1776.494261,-1332.370696,-77375.645298
13539.115876,-1924.535449,-8734.430116,-77835.302597
13539.118431,2960.823768,-5921.647536,-78294.959896
13539.120987,4441.235652,-592.164754,-78294.959896
13539.123542,-5033.400406,-740.205942,-79061.055394
13539.126097,-9474.636058,0.000000,-78907.836294
13539.128653,-10214.842000,-8438.347739,-78907.836294
13539.131208,2960.823768,888.247130,-78601.398095
13539.133763,1480.411884,-3849.070898,-80746.465489
13539.136319,3552.988522,-4589.276840,-77988.521696
